"gemeinde_bfsnr","gemeinde_bez","wahlbeteiligung","letzte_wahl_wahlbeteiligung"
10261,"Zürich, Kreis 1+2",NA,NA
20261,"Zürich, Kreis 3",NA,NA
60261,"Zürich, Kreis 9",NA,NA
30261,"Zürich, Kreis 4+5",NA,NA
40261,"Zürich, Kreis 6",NA,NA
70261,"Zürich, Kreis 10",NA,NA
50261,"Zürich, Kreis 7+8",NA,NA
80261,"Zürich, Kreis 11",NA,NA
90261,"Zürich, Kreis 12",NA,NA
241,"Aesch",NA,NA
242,"Birmensdorf",NA,NA
243,"Dietikon",NA,NA
244,"Geroldswil",NA,NA
245,"Oberengstringen",NA,NA
246,"Oetwil an der Limmat",NA,NA
247,"Schlieren",NA,NA
248,"Uitikon",NA,NA
249,"Unterengstringen",NA,NA
250,"Urdorf",NA,NA
251,"Weiningen",NA,NA
1,"Aeugst am Albis",NA,NA
2,"Affoltern am Albis",NA,NA
3,"Bonstetten",NA,NA
4,"Hausen am Albis",NA,NA
5,"Hedingen",NA,NA
6,"Kappel am Albis",NA,NA
7,"Knonau",NA,NA
8,"Maschwanden",NA,NA
9,"Mettmenstetten",NA,NA
10,"Obfelden",NA,NA
11,"Ottenbach",NA,NA
12,"Rifferswil",NA,NA
13,"Stallikon",NA,NA
14,"Wettswil am Albis",NA,NA
131,"Adliswil",NA,NA
135,"Kilchberg",NA,NA
136,"Langnau am Albis",NA,NA
137,"Oberrieden",NA,NA
138,"Richterswil",NA,NA
139,"Rüschlikon",NA,NA
141,"Thalwil",NA,NA
293,"Wädenswil",NA,NA
295,"Horgen",NA,NA
151,"Erlenbach",NA,NA
152,"Herrliberg",NA,NA
153,"Hombrechtikon",NA,NA
154,"Küsnacht",NA,NA
155,"Männedorf",NA,NA
156,"Meilen",NA,NA
157,"Oetwil am See",NA,NA
158,"Stäfa",NA,NA
159,"Uetikon am See",NA,NA
160,"Zumikon",NA,NA
161,"Zollikon",NA,NA
111,"Bäretswil",NA,NA
112,"Bubikon",NA,NA
113,"Dürnten",NA,NA
114,"Fischenthal",NA,NA
115,"Gossau",NA,NA
116,"Grüningen",NA,NA
117,"Hinwil",NA,NA
118,"Rüti",NA,NA
119,"Seegräben",NA,NA
120,"Wald",NA,NA
121,"Wetzikon",NA,NA
191,"Dübendorf",NA,NA
192,"Egg",NA,NA
193,"Fällanden",NA,NA
194,"Greifensee",NA,NA
195,"Maur",NA,NA
196,"Mönchaltorf",NA,NA
